Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Tol_general_tolerances,Tol_specific_tolerances
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,Not applicable,Not applicable,Not applicable,still life arrangement / photographic scene,Not applicable,Not applicable,Not applicable,photograph,Not applicable,"Not applicable (Objects are real-world items, not specified for manufacturing)","Not applicable (Image is a photograph, not a technical drawing)",Not applicable,Not applicable,Not applicable,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,Overall_Dimensions,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,"{'linear': 'None visible', 'angular': 'None visible', 'standard_reference': 'None visible'}",[]
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,1,Not specified,Wall surface,Not applicable,Not specified,"Not specified (Visually textured, vertical lines)",None visible,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,2,Not specified,Vase surface,Not applicable,Not specified,"Not specified (Visually smooth, transparent glass)",None visible,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,3,Not specified,Brush holder surface,Not applicable,Not specified,"Not specified (Visually smooth, dark material)",None visible,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,4,Not specified,Jar surface,Not applicable,Not specified,"Not specified (Visually smooth, transparent glass)",None visible,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,1,Lid of the glass jar,"Right side of the vase, above the coins",OPEN▸,label/instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,2,One of the calligraphy brushes (second from right),"Mid-right, on the light-colored shaft of the brush",unclear_text (Chinese characters),label/inscription,,,,,,,,,Manufacturing_Note,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,3,Small box on the right,Bottom right corner,unclear_text (Chinese characters),label/inscription,,,,,,,,,Manufacturing_Note,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,"Not applicable (Objects are: glass for vase and jar, plant material for flowers and leaves, unknown dark material for brush holder, unknown material for brushes, metal for coins)",None visible,None visible,None visible,None visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,
06bca02d-0b83-481c-90fb-13aa433ea93a_pexels-zhangkaiyv-1138369.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,,
