Filename,Record Type,dimensional_information_dimension_id,dimensional_information_location_description,dimensional_information_orientation,dimensional_information_type,dimensional_information_unit,dimensional_information_value,drawing_metadata_description,drawing_metadata_title,drawing_metadata_units,geometric_features_description,geometric_features_elements_element_type,geometric_features_elements_location_description,geometric_features_elements_note,geometric_features_elements_orientation,geometric_features_elements_quantity,geometric_features_elements_unit,geometric_features_elements_value,geometric_features_feature_id,geometric_features_positioning_dimensions_dimension_type,geometric_features_positioning_dimensions_location_description,geometric_features_positioning_dimensions_orientation,geometric_features_positioning_dimensions_unit,geometric_features_positioning_dimensions_value,geometric_features_type,reference_elements_element_type,reference_elements_location_description,reference_elements_orientation
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,File Info,,,,,,,2D profile of an irregular shape with a central slot and various radii.,Engineering Profile Drawing,unspecified,,,,,,,,,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 1,,,,,,,,,,,Radius,Top-right curve of the profile.,,,,unspecified,5.77,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 2,,,,,,,,,,,Radius,Mid-right curve of the profile.,,,,unspecified,30.0,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 3,,,,,,,,,,,Radius,Bottom-right curve of the profile.,,,,unspecified,8.25,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 4,,,,,,,,,,,Radius,Mid-left inward curve of the profile.,,,,unspecified,4.0,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features Item 1,,,,,,,,,,"The main outer boundary of the part, defined by a series of tangent radii.",,,,,,,,F1,,,,,,Outline Profile,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 1,,,,,,,,,,,Radius,Radius of the two semicircular ends of the slot.,"The '2x' prefix indicates that both ends of the slot have this radius. If this defines the slot width, the width would be 2 * 0.68 = 1.36.",,2,unspecified,0.68,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_elements Item 2,,,,,,,,,,,Linear Dimension,Distance from the main vertical centerline to the rightmost vertical tangent line of the slot.,"This dimension implies a total slot width of 2 * 0.93 = 1.86. This value appears to contradict the width implied by the '2xR0.68' end radii if the slot is a standard 'pill' shape (where width = 2R). This suggests the slot has parallel straight sections with a width of 1.86, and the ends are rounded with R0.68, which is geometrically inconsistent as the radius of the ends should match half the slot width.",Horizontal,,unspecified,0.93,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features_positioning_dimensions Item 1,,,,,,,,,,,,,,,,,,,Linear,Distance from a horizontal reference line (passing below the slot) to the top tangent point of the slot.,Vertical,unspecified,4.3,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,geometric_features Item 2,,,,,,,,,,A vertical slot feature located in the upper central portion of the profile.,,,,,,,,F2,,,,,,Slot,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,dimensional_information Item 1,D1,Overall vertical dimension from the bottom horizontal centerline to the top horizontal line (tangent to the R30.00 curve).,Vertical,Linear,unspecified,15.96,,,,,,,,,,,,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,dimensional_information Item 2,D2,Vertical dimension from the bottom horizontal centerline to a horizontal line above it (tangent to the R8.25 curve).,Vertical,Linear,unspecified,8.25,,,,,,,,,,,,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,dimensional_information Item 3,D3,Vertical dimension from the bottom horizontal centerline to a horizontal line below the R4.00 feature.,Vertical,Linear,unspecified,5.25,,,,,,,,,,,,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,dimensional_information Item 4,D4,Horizontal dimension from the main vertical centerline to a vertical line on the left (tangent to the R4.00 feature).,Horizontal,Linear,unspecified,3.2,,,,,,,,,,,,,,,,,,,,,
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,reference_elements Item 1,,,,,,,,,,,,,,,,,,,,,,,,,Centerline,"Main vertical axis, passing through the center of the slot and the bottommost point of the profile.",Vertical
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,reference_elements Item 2,,,,,,,,,,,,,,,,,,,,,,,,,Centerline,"Multiple horizontal reference lines used for vertical dimensioning, including one at the bottom of the profile and one below the slot.",Horizontal
11ebdf6c-4f6f-4726-a846-51ffddb04483_new1.PNG,reference_elements Item 3,,,,,,,,,,,,,,,,,,,,,,,,,Center Mark,"A cross symbol (+) on the left side of the profile, indicating a reference point or center for the R4.00 curve.",
