Filename,Record Type,component_type,drawing_title,drawing_zones,general_notes,revision_history_approved_by,revision_history_date,revision_history_description,revision_history_revision,revision_history_zone,specification_tables_data_parameter,specification_tables_data_unit,specification_tables_data_value_as_shown,specification_tables_data_value_numeric,specification_tables_table_name,title_block_approved,title_block_checked_date,title_block_company_project,title_block_drawing_number,title_block_drawn_by,title_block_drawn_date,title_block_mfg,title_block_qa,title_block_revision,title_block_scale,title_block_sheet_info,title_block_size,title_block_title,title_block_weight_unit,title_block_weight_value,views_dimensions_location,views_dimensions_notes,views_dimensions_symbol,views_dimensions_type,views_dimensions_unit,views_dimensions_value,views_geometric_features_associated_dimensions_type,views_geometric_features_associated_dimensions_unit,views_geometric_features_associated_dimensions_value,views_geometric_features_description,views_geometric_features_type,views_scale,views_view_name,views_view_type
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,File Info,Spur Gear,Spur Gear,A; B; 1; 2,,,,,,,,,,,,None,02/07/12,J=DOGG ROCKSTAR COR.,1,Jonas Bonnett,2/7/2012,None,None,A,1:1,1 OF 1,A,Spur Gear,lbs,0.607,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,revision_history Item 1,,,,,Instructor,01/24/12,RELEASE FOR PRODUCTION,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, angle of central star feature",,,angular,degrees,59,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom, from center vertical axis to tooth valley",,,linear,inches,0.42,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"left, from center horizontal axis to top of tooth",,,linear,inches,0.28,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"right, from center horizontal axis to bottom of tooth",,,linear,inches,0.27,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, tooth root feature","appears twice, also top-right",,linear,inches,0.31,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-center, inner star feature",,,linear,inches,0.1,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-center, inner star feature",,,linear,inches,0.05,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-center, inner star feature",,,linear,inches,0.06,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, hole feature",,flat,diameter,inches,0.4,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, hole feature",,,diameter,inches,0.88,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-right, hole feature",,,diameter,inches,0.5,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-right, circular feature",,,diameter,inches,1.3,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-right, circular feature",,,diameter,inches,1.18,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-right, circular feature","appears twice, also bottom-left",,diameter,inches,0.95,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-left, circular feature",,,diameter,inches,2.07,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-right, outer gear diameter",,,diameter,inches,2.0,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features_associated_dimensions Item 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diameter,inches,0.88,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features_associated_dimensions Item 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diameter,inches,0.5,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features_associated_dimensions Item 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diameter,inches,1.3,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features_associated_dimensions Item 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diameter,inches,1.18,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features_associated_dimensions Item 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diameter,inches,0.95,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features Item 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 holes equally spaced around center,hole_pattern,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features Item 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star-shaped central feature,central_feature,,,
