Filename,Record Type,drawing_information_general_notes,drawing_information_revision_table_columns,drawing_information_revision_table_rows_ENTU,drawing_information_revision_table_rows_LUGROW,drawing_information_revision_table_rows_PHIRISOONG,drawing_information_revision_table_rows_TACT_1,drawing_information_revision_table_rows_TACT_2,drawing_information_title_block_additional_fields_label,drawing_information_title_block_additional_fields_value,drawing_information_title_block_date,drawing_information_title_block_drawing_number,drawing_information_title_block_drawing_title,views_annotations_location,views_annotations_text,views_callouts_associated_feature,views_callouts_text,views_callouts_unclear_character,views_description,views_dimensions_associated_feature,views_dimensions_note,views_dimensions_orientation,views_dimensions_symbol,views_dimensions_type,views_dimensions_unit,views_dimensions_value,views_location,views_name,views_type
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,File Info,1. BOOT/BIGGA INDES DENTC TRUH; 2. CHDCENI A GIGRIFND ND NDCNOCYDC; 3. ALZIBB IN CEGNTI MORNANNA. TOR W MORIS I SORPVE ARGENIC; 4. BOBANYCEHET WADHAS MAL AOW MYULUME MGNAO CAWO BNUW; 5. COI SANCERET IEE; 6. OO OOS ISSVIHTUAN WDN OO ORIDOY AUDITIVES OF PROODORTS; 7. HGRTWS OWE; 8. PV. DIY CKOI BEH WAX DEBGM ATTRANCE; 9. C. DAKV/MASITICAFENGI STUTUADIC TODIANNING GIGAGE; 10. RUOEI,ENTU; TACT; TACT; PHIRISOONG; LUGROW,,,,,,,,S3B. 15 AU,1° 53063119,RETAINER OUTPUT D'CHROIC Q SMART 100°,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 1,,,,,,,,BAGH W LE,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 2,,,,,,,,R 3015103,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 3,,,,,,,,FTH IN,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 4,,,,,,,,WEB RJSUDRIBRGTHL,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 5,,,,,,,,MOLTY,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 6,,,,,,,,SMEG,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 7,,,,,,,,DRG. NO.,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 8,,,,,,,,SCALE,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 9,,,,,,,,SHEET,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 10,,,,,,,,SIZE,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 11,,,,,,,,REV,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 12,,,,,,,,WEIGHT,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 13,,,,,,,,MATERIAL,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 14,,,,,,,,FINISH,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 15,,,,,,,,TOLERANCES,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 16,,,,,,,,DRAWN BY,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 17,,,,,,,,CHECKED BY,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_title_block_additional_fields Item 18,,,,,,,,APPROVED BY,unclear_text,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_revision_table_rows Item 1,,,D,LEGHN,KMENN/RUTHSAPU EN SUTY DINGHT,E,H,,,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,drawing_information_revision_table_rows Item 2,,,J,LIGHN,GINTVIJ ZMTTWTN,J,J,,,,,,,,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views Item 1,,,,,,,,,,,,,,,,,,"Isometric projection of the part, showing its overall shape and the arrangement of circular features.",,,,,,,,top_left,,isometric_view
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 1,,,,,,,,,,,,,,,top_left_circular_feature,(')BAAJM A,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 2,,,,,,,,,,,,,,,general_annotation,13BC ISSPERISTON AN,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 3,,,,,,,,,,,,,,,general_annotation,22K 50BJ AIL,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 4,,,,,,,,,,,,,,,general_annotation,POCIZEI J25?,?,,,,,,,,,,,
