Filename,Record Type,drawing_analysis_components_component_id,drawing_analysis_components_description,drawing_analysis_components_views_details_datum,drawing_analysis_components_views_details_description,drawing_analysis_components_views_details_designation,drawing_analysis_components_views_details_details_datum,drawing_analysis_components_views_details_details_location,drawing_analysis_components_views_details_details_type,drawing_analysis_components_views_details_details_type_of_tolerance,drawing_analysis_components_views_details_details_units,drawing_analysis_components_views_details_details_value,drawing_analysis_components_views_details_diameter,drawing_analysis_components_views_details_feature,drawing_analysis_components_views_details_label,drawing_analysis_components_views_details_location,drawing_analysis_components_views_details_quantity,drawing_analysis_components_views_details_tolerance,drawing_analysis_components_views_details_type,drawing_analysis_components_views_details_type_of_tolerance,drawing_analysis_components_views_details_units,drawing_analysis_components_views_details_value,drawing_analysis_components_views_section_label,drawing_analysis_components_views_type,drawing_analysis_components_views_view_name,drawing_analysis_surface_finish_units,drawing_analysis_units
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,File Info,,,,,,,,,,,,,,,,,,,,,,,,,µm,mm
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Outer radius,,Top right arc,,,Dimension,,mm,R45,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Inner radius,,Top left arc,,,Dimension,,mm,R35,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Linear dimension,,Top horizontal dimension,,,Dimension,,mm,30,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 4,,,,,,,,,,,,,Angular dimension,,Top left angular dimension,,,Dimension,,degrees,30°,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 5,,,,,,,,,,,,,Angular dimension,,Bottom left angular dimension,,,Dimension,,degrees,30°,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 6,,,,,,,,,,,,,Linear dimension,,Bottom horizontal dimension,,,Dimension,,mm,30,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 7,,,,,,,,,,,,,Linear dimension,,Left vertical dimension,,,Dimension,,mm,75,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 8,,,,,,,,,,,,,Linear dimension,,Right vertical dimension,,,Dimension,,mm,75,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 9,,,,,M8 x2-6H,,,,,,,,Threaded holes,,Circular pattern,6,,Hole,,mm,,,,,,
