Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,retainer,,,00255703,mechanical,,,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",A,1:1,1 of 1,[],,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '', 'unit': '', 'tolerance': ''}","{'value': '', 'unit': '', 'tolerance': ''}","{'value': '3.53', 'unit': 'inch', 'tolerance': ''}","{'value': '1.445', 'unit': 'inch', 'tolerance': ''}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '0.445', 'unit': 'inch', 'tolerance': ''}}",4X 0.445,hole,"{'x': '', 'y': '', 'reference': ''}",6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '8-32 UNC', 'unit': '', 'tolerance': ''}}",8-32 UNC THRU ALL,hole,"{'x': '', 'y': '', 'reference': ''}",6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '0.020', 'unit': 'inch', 'tolerance': ''}}",0.020 X 0.020 CHAMFER AROUND PERIMETER,chamfer,"{'x': '', 'y': '', 'reference': ''}",6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,"{'linear': '±0.005', 'angular': '', 'standard_reference': ''}","[{'feature': 'pocket', 'tolerance': '+0.000 / -0.005', 'type': 'unilateral'}]",
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,1
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,1,,,,,8-32 UNC,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,,[],SECTION A-A,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,REMOVE ALL BURRS AND SHARP EDGES,machining,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"ANODIZE CLEAR PER MIL-A-8625 TYPE 1, CLASS 1 HEAVY NICKEL-ACETATE SEAL",coating,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,"ANODIZE CLEAR PER MIL-A-8625 TYPE 1, CLASS 1 HEAVY NICKEL-ACETATE SEAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,
,,,,,6995324d-6e9d-4de2-b10b-21b4ad9eb557_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,
