Filename,Record Type,components_component_type,components_cross_section_view_dimensions_feature,components_cross_section_view_dimensions_location,components_cross_section_view_dimensions_type,components_cross_section_view_dimensions_units,components_cross_section_view_dimensions_value,components_features_count,components_features_description,components_features_name,components_features_notes,components_identifier,components_main_view_dimensions_feature,components_main_view_dimensions_location,components_main_view_dimensions_type,components_main_view_dimensions_units,components_main_view_dimensions_value,components_teeth_count,drawing_title,title_block_checked_by,title_block_date,title_block_department,title_block_dimensioning_units,title_block_drawing_type,title_block_drawn_by,title_block_institution,title_block_material,title_block_part_name,title_block_projection_method,title_block_scale
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,File Info,,,,,,,,,,,,,,,,,,ENGRANES,ING. OSCAR MOLINA,AGOSTO-DICIEMBRE 2011,INGENIERIA ELECTROMECANICA,MM,DIBUJO ELECTROMECANICO,JESÚS CHÁVEZ,INSTITUTO TECNOLOGICO DE CHIHUAHUA,ACERO LAMINADO,ENGRANES,Third Angle Projection,1:1
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 1,,,,,,,,,,,,Outer Diameter (Addendum Circle),Top right of large gear,Diameter,mm,10.11,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 2,,,,,,,,,,,,"Reference Diameter (Value is larger than Outer Diameter, which is unusual for standard gear definitions like Pitch Diameter)",Top right of large gear,Diameter,mm,10.83,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 3,,,,,,,,,,,,Root Diameter (Dedendum Circle),Top right of large gear,Diameter,mm,9.0,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 4,,,,,,,,,,,,Hub Outer Diameter,Center of large gear,Diameter,mm,2.5,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 5,,,,,,,,,,,,Bore Diameter,Center of large gear,Diameter,mm,1.25,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 6,,,,,,,,,,,,Fillet Radius (Spoke to Hub),Bottom left of large gear hub,Radius,mm,0.25,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 7,,,,,,,,,,,,Fillet Radius (Spoke to Rim),Top left of large gear rim,Radius,mm,0.25,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 8,,,,,,,,,,,,Overall Width/Thickness of Gear Body,Bottom of large gear,Linear,mm,5.42,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 9,,,,,,,,,,,,Tooth Height Segment 1 (from OD to a line),Top right of large gear teeth,Linear,mm,0.32,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 10,,,,,,,,,,,,Tooth Height Segment 2 (from previous line to root),Top right of large gear teeth,Linear,mm,0.16,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 11,,,,,,,,,,,,Tooth Root Fillet Radius,Top right of large gear teeth,Radius,mm,0.03,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_features Item 1,,,,,,,5,Igualmente Espaciados De .75,Spokes,"The meaning of '.75' is unclear; it could refer to an angle, a dimension of the spoke, or a typo. If equally spaced, the angle between spokes would be 72 degrees.",,,,,,,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_cross_section_view_dimensions Item 1,,Keyway Width,Top left cross-section,Linear,mm,0.75,,,,,,,,,,,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_cross_section_view_dimensions Item 2,,Hub Width/Thickness,Top left cross-section,Linear,mm,1.5,,,,,,,,,,,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_cross_section_view_dimensions Item 3,,Overall Length/Height of Hub Section,Top left cross-section,Linear,mm,2.0,,,,,,,,,,,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components Item 1,Gear,,,,,,,,,,Large Gear,,,,,,63,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 1,,,,,,,,,,,,Outer Diameter (Addendum Circle),Bottom right of small gear,Diameter,mm,3.83,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 2,,,,,,,,,,,,"Reference Diameter (Value is between Outer and Root Diameter, likely Pitch Diameter)",Bottom right of small gear,Diameter,mm,3.11,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 3,,,,,,,,,,,,Root Diameter (Dedendum Circle),Bottom right of small gear,Diameter,mm,2.75,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 4,,,,,,,,,,,,Hub Outer Diameter,Center of small gear,Diameter,mm,1.88,,,,,,,,,,,,,
6bc1537d-204e-40c8-a5af-1e8537481b81_image (5).jpg,components_main_view_dimensions Item 5,,,,,,,,,,,,Bore Diameter,Center of small gear,Diameter,mm,1.25,,,,,,,,,,,,,
