Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,M PERKINS,T TEMPERO,QUANTEL USA,Retainer,3/17/2014,3/17/2014,00255703,mechanical part,M PERKINS,6061-T6 AL,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",A,1:1,SHEET 1 OF 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '0.255', 'unit': 'inch', 'tolerance': 'unspecified'}","{'value': '1.918', 'unit': 'inch', 'tolerance': 'unspecified'}",[],"{'value': '1.665', 'unit': 'inch', 'tolerance': 'unspecified'}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': 'R.445', 'unit': 'inch', 'tolerance': 'unspecified'}}",Corner radii,radius,4 corners of the part,4,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '⌀0.460', 'unit': 'inch', 'tolerance': 'unspecified'}}",Through hole,hole,"Two central holes, horizontally aligned",2,THRU,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '⌀0.130', 'unit': 'inch', 'tolerance': 'unspecified'}, 'secondary': {'value': '⌀0.256', 'unit': 'inch', 'tolerance': 'unspecified', 'type': 'counterbore'}}",Counterbored through hole,hole,"Four holes, one in each corner quadrant",4,THRU,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '⌀.063', 'unit': 'inch', 'tolerance': 'unspecified'}}",Small through hole (in section A-A),hole,"Within the ⌀0.130 holes, visible in Section A-A",4,THRU,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': 'R.385', 'unit': 'inch', 'tolerance': 'unspecified'}, 'secondary': {'value': '0.094', 'unit': 'inch', 'tolerance': 'unspecified', 'type': 'depth'}}",Circular pocket,pocket,"Top surface, near the 00255703-A marking",1,POCKET,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '0.445', 'unit': 'inch', 'tolerance': 'unspecified'}}",Horizontal dimension from left edge to first hole center,dimension,Front view,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '1.027', 'unit': 'inch', 'tolerance': 'unspecified'}}",Horizontal dimension between central hole centers,dimension,Front view,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '0.333', 'unit': 'inch', 'tolerance': 'unspecified'}}",Vertical dimension from bottom edge to first hole center,dimension,Front view,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"{'primary': {'value': '0.970', 'unit': 'inch', 'tolerance': 'unspecified'}}",Vertical dimension between central hole centers,dimension,Front view,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '1.336', 'unit': 'inch', 'tolerance': 'unspecified'}}",Depth of larger bore (in Section A-A),dimension,Section A-A,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '0.826', 'unit': 'inch', 'tolerance': 'unspecified'}}",Depth of pocket (in Section B-B),dimension,Section B-B,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '(1.094)', 'unit': 'inch', 'tolerance': 'reference'}}",Overall width of pocket area (in Section B-B),reference_dimension,Section B-B,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': '(0.050)', 'unit': 'inch', 'tolerance': 'reference'}}",Wall thickness (in Section B-B),reference_dimension,Section B-B,1,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,"{'linear': 'unspecified', 'angular': 'unspecified', 'standard_reference': 'unspecified'}",[],
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,['A'],2X ⌀0.460 THRU holes,"Front view, associated with 2X ⌀0.460 THRU callout",RFS (implied),position,0.050,⌀0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,[],4X ⌀0.130 THRU holes,"Front view, associated with 4X ⌀0.130 THRU callout",RFS (implied),position,0.256,⌀0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,['A'],8-32 UNC THRU ALL holes,"Front view, associated with 8-32 UNC THRU ALL callout",RFS (implied),position,0.050,⌀0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,Indicated surfaces,RANDOM-ORBITAL SAND,grit,200-240 GRIT SANDPAPER,RANDOM-ORBITAL SAND,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,,,,,,1,"Four holes, one in each corner quadrant, same as 4X ⌀0.130 THRU holes",4,unspecified,THRU ALL,8-32 UNC,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Vertical cut through the center of the part, passing through two ⌀0.130 holes and two ⌀0.460 holes","[{'feature': 'Small hole diameter', 'value': '4X ⌀.063', 'unit': 'inch', 'tolerance': 'unspecified'}, {'feature': 'Larger bore depth', 'value': '1.336', 'unit': 'inch', 'tolerance': 'unspecified'}]",SECTION A-A,1:1 (implied),full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,"Vertical cut through the center of the part, perpendicular to Section A-A, passing through the pocket","[{'feature': 'Overall width of pocket area (reference)', 'value': '(1.094)', 'unit': 'inch', 'tolerance': 'reference'}, {'feature': 'Pocket depth', 'value': '0.826', 'unit': 'inch', 'tolerance': 'unspecified'}, {'feature': 'Wall thickness (reference)', 'value': '(0.050)', 'unit': 'inch', 'tolerance': 'reference'}]",SECTION B-B,1:1 (implied),full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,3,"View perpendicular to surface A, showing the pocket area","[{'feature': 'Pocket radius', 'value': 'R.385', 'unit': 'inch', 'tolerance': 'unspecified'}, {'feature': 'Pocket depth', 'value': '0.094', 'unit': 'inch', 'tolerance': 'unspecified'}]",VIEW C-C,1:1 (implied),auxiliary/detail view,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Entire part,Bottom left,UNLESS OTHERWISE SPECIFIED REMOVE ALL BURRS AND SHARP EDGES.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All dimensions and tolerances,Bottom left,TOLERANCES APPLY AFTER PLATING.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Entire part,Bottom left,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL",coating,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Machined text (e.g., '00255703-A' on the part)",Bottom left,RETRIEVE MACHINED TEXT LOCATIONS FROM 3D CAD FILE PROVIDED BY QUANTEL USA. MACHINED TEXT DEPTH TO BE .005/.010. TEXT MAY ALSO BE LASER ETCHED.,machining,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Surfaces indicated by a leader from the note (none explicitly shown, but implied by general practice)",Bottom left,RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES.,surface_finish,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Perimeter of the part,Bottom left,.020 X .020 CHAMFER AROUND PERIMETER,feature_specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Drawing interpretation,Bottom center,DO NOT SCALE DRAWING,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['ECN', 'REV', 'ZONE', 'DESCRIPTION', 'DATE', 'APPROVED']","[{'ECN': '3038', 'REV': '2', 'ZONE': 'B2', 'DESCRIPTION': 'UPDATE THE 2X THRU HOLES AND 1X CB BORE DIAMETERS FROM .510 TO .460', 'DATE': '3/5/2013', 'APPROVED': 'M PERKINS'}, {'ECN': '3058', 'REV': 'A', 'ZONE': 'ALL', 'DESCRIPTION': 'RELEASE TO DOCUMENT CONTROL', 'DATE': '3/17/2014', 'APPROVED': 'T TEMPERO'}]",REVISIONS,revision_history,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,6061-T6 AL,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL",RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES,unspecified,T6 (temper designation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74c985b5-bde3-42f6-a733-7617a1f9c346_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
