Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,M PERKINS,T TEMPERO,QUANTEL USA,Retainer,3/31/2014 (Release to Document Control),5/5/2015 (Latest Revision),00255703,mechanical part,M PERKINS,6061-T6 AL,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",2,1:1,SHEET 1 OF 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '0.255', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}","{'value': '1.918', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}","[{'feature': 'Horizontal dimension from left edge to center of left hole group', 'value': '0.445', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'location': 'Main View'}, {'feature': 'Horizontal dimension between centers of hole groups', 'value': '1.027', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'location': 'Main View'}, {'feature': 'Vertical dimension from bottom edge to center of bottom hole group', 'value': '0.333', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'location': 'Main View'}, {'feature': 'Vertical dimension between centers of hole groups', 'value': '0.970', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'location': 'Main View'}]","{'value': '1.665', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': 'R.445', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}}",Corner radii,radius,4 corners of the part,4,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '⌀.130', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'note': 'As dimensioned in main view, but Section A-A shows ⌀.063 as thru hole.'}, 'secondary': {'value': '⌀.256', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'type': 'counterbore'}}",Thru hole with counterbore (4X),hole,4 corner holes,4,THRU,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '⌀.460', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}, 'secondary': {'value': '⌀.050', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'type': 'counterbore'}}",Thru hole with counterbore (2X),hole,2 middle holes (left and right),2,THRU,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': 'R.385', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'type': 'radius'}, 'secondary': {'value': '0.094', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general', 'type': 'depth'}}",Pocket on top surface,pocket,"Top center of part, shown in View C-C",1,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '⌀.063', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}}",Thru hole (from Section A-A),hole,"Internal feature of 4X holes, shown in Section A-A",4,THRU,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '1.336', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}}",Internal dimension in Section A-A,dimension,Section A-A,1,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '(1.094)', 'unit': 'inches (implied)', 'tolerance': 'reference'}}",Internal dimension in Section B-B (reference),dimension,Section B-B,1,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '.826', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}}",Internal dimension in Section B-B,dimension,Section B-B,1,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
