Filename,Record Type,drawing_elements_applies_to,drawing_elements_description,drawing_elements_details_arc_angle_unit,drawing_elements_details_arc_angle_value,drawing_elements_details_bolt_circle_diameter_unit,drawing_elements_details_bolt_circle_diameter_value,drawing_elements_details_count,drawing_elements_details_depth_unit,drawing_elements_details_depth_value,drawing_elements_details_diameter_unit,drawing_elements_details_diameter_value,drawing_elements_details_dimension_type,drawing_elements_details_hole_specifications_depth_note,drawing_elements_details_hole_specifications_depth_unit,drawing_elements_details_hole_specifications_depth_value,drawing_elements_details_hole_specifications_diameter_unit,drawing_elements_details_hole_specifications_diameter_value,drawing_elements_details_hole_specifications_thread_specification,drawing_elements_details_hole_specifications_type,drawing_elements_details_pattern_type,drawing_elements_details_radius_unit,drawing_elements_details_radius_value,drawing_elements_details_shape,drawing_elements_details_spacing,drawing_elements_details_unit,drawing_elements_details_value,drawing_elements_details_width_unit,drawing_elements_details_width_value,drawing_elements_identifier,drawing_elements_location,drawing_elements_name,drawing_elements_type,drawing_metadata_part_identifier,drawing_metadata_revision,drawing_metadata_title,drawing_metadata_units_assumption
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,File Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,Unspecified,Engineering Drawing,"Millimeters (mm), inferred from the 'M6' thread specification and common engineering drawing practices. Units are not explicitly stated on the drawing."
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 1,,Indicates a cutting plane for a section view.,,,,,,,,,,,,,,,,,,,,,,,,,,,A-A,Vertical line passing through the center of the part.,,Section Line,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 2,,,,,,,20,,,,,,,,,,,,,,mm,9,Arc,EQUALLY SPACED,,,,,,Outermost perimeter of the part.,Outer Teeth Profile,Geometric Feature,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 3,,,,,,,,,,mm,32,,,,,,,,,,,,Cylindrical Hole,,,,,,,Center of the part.,Central Bore,Geometric Feature,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 4,,,,,,,,mm,2,,,,,,,,,,,,,,Rectangular Slot,,,,mm,8,,"Within the Central Bore, aligned with the vertical centerline.",Keyway,Geometric Feature,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 5,,,,,,,,,,mm,57,,,,,,,,,,,,Cylindrical Surface,,,,,,,"Concentric with the Central Bore, forming the base for the teeth.",Inner Hub Diameter,Geometric Feature,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements_details_hole_specifications Item 1,,,,,,,,,,,,,Likely drill depth for the pilot hole.,mm,19,mm,5,,Drilled Hole,,,,,,,,,,,,,,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements_details_hole_specifications Item 2,,,,,,,,,,,,,Likely tap depth.,mm,16,,,M6 X 1,Tapped Hole,,,,,,,,,,,,,,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements Item 6,,,,,mm,50,8,,,,,,,,,,,,,Bolt Circle,,,,,,,,,,Arranged on a bolt circle in the upper half of the part.,Upper Bolt Circle Holes,Hole Pattern,,,,
9d3b6ade-532d-4d42-840d-e6c7e938a9c3_Autocad 2D Gear Practice.jpg,drawing_elements_details_hole_specifications Item 1,,,,,,,,,,,,,,,,mm,12,,Drilled Hole,,,,,,,,,,,,,,,,,
