Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,retainer,,,00255703,mechanical,,,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",A,1:1,1 of 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '', 'unit': '', 'tolerance': ''}","{'value': '', 'unit': '', 'tolerance': ''}","{'value': '1.445', 'unit': 'inches', 'tolerance': ''}","[{'feature': 'pocket diameter', 'value': '0.460', 'unit': 'inches', 'tolerance': '+/- 0.050', 'location': ''}]","{'value': '1.445', 'unit': 'inches', 'tolerance': ''}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '0.445', 'unit': 'inches', 'tolerance': ''}, 'secondary': {'value': '', 'unit': '', 'tolerance': ''}}",4x 0.445 diameter holes,hole,"{'x': '', 'y': '', 'reference': ''}",4,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '8-32', 'unit': '', 'tolerance': ''}, 'secondary': {'value': '', 'unit': '', 'tolerance': ''}}",8-32 UNC thru all,thread,"{'x': '', 'y': '', 'reference': ''}",,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,"{'linear': '', 'angular': '', 'standard_reference': ''}","[{'feature': 'pocket diameter', 'tolerance': '+/- 0.050', 'type': 'bilateral'}]",
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,1,,,,,8-32 UNC,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,,[],A-A,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,REMOVE ALL BURRS AND SHARP EDGES,machining,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"ANODIZE CLEAR PER MIL-A-8625 TYPE 1, CLASS 1 HEAVY NICKEL-ACETATE SEAL",surface treatment,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9e909854-f9b6-4f2c-ab34-847c9c4f48d7_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,
