Filename,Record Type,annotations_description,annotations_location,annotations_text,annotations_type,dimensions_linear_dimensions_associated_features,dimensions_linear_dimensions_location,dimensions_linear_dimensions_orientation,dimensions_linear_dimensions_type,dimensions_linear_dimensions_value,dimensions_radial_dimensions_annotation,dimensions_radial_dimensions_associated_features,dimensions_radial_dimensions_count,dimensions_radial_dimensions_location,dimensions_radial_dimensions_type,dimensions_radial_dimensions_value,drawing_type,general_notes,geometric_features_description,geometric_features_type,material_specification,part_identifier,revision_information,surface_finish_requirements,tolerances_dimensional_tolerances,tolerances_geometric_tolerances,units
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,File Info,,,,,,,,,,,,,,,,Engineering Drawing,,,,None,Unspecified,None,None,,,unspecified
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,geometric_features Item 1,,,,,,,,,,,,,,,,,,Symmetrical spindle-like component around a central vertical axis.,Revolved Part,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 1,,,,,,Topmost cylindrical section,Horizontal,Diameter,4.4,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 2,,,,,,Topmost cylindrical section,Vertical,Height,1.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 3,,,,,,Step below topmost cylindrical section,Vertical,Height,0.6,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 4,,,,,,Upper neck section,Horizontal,Diameter,3.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 5,,,,,,Upper neck section,Vertical,Height,2.3,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 6,,,,,,Upper shoulder section,Horizontal,Diameter,4.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 7,,,,,,Upper shoulder section,Vertical,Height,0.8,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 8,,,,,,Overall height of the main curved body (from upper shoulder to lower shoulder),Vertical,Height,11.2,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 9,,,,,R3.00; R1.60,Vertical position of the tangent point of R3.00 curve relative to the lower shoulder,Vertical,Height,2.3,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 10,,,,,,Narrowest point of the main curved body,Horizontal,Diameter,4.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 11,,,,,R1.60,Lower shoulder section,Vertical,Height,0.8,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 12,,,,,,Lower neck section (below lower shoulder),Vertical,Height,3.1,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 13,,,,,,Lower rounded feature (above base),Vertical,Height,1.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 14,,,,,,Lower rounded feature (above base),Horizontal,Diameter/Width,5.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 15,,,,,,Base section,Vertical,Height,2.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_linear_dimensions Item 16,,,,,,Base section,Horizontal,Diameter/Width,6.0,,,,,,,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_radial_dimensions Item 1,,,,,,,,,,2xR0.30,Topmost cylindrical section; Step below topmost cylindrical section,2,Fillet/Round at the top section,Radius,0.3,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_radial_dimensions Item 2,,,,,,,,,,R6.00,,,Upper curve of the main body,Radius,6.0,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_radial_dimensions Item 3,,,,,,,,,,R3.00,,,Lower curve of the main body,Radius,3.0,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,dimensions_radial_dimensions Item 4,,,,,,,,,,R1.60,,,Lower shoulder feature,Radius,1.6,,,,,,,,,,,
a79562c7-3735-416c-8487-2e16ee3be537_new2.PNG,annotations Item 1,Indicates two instances of a radius 0.30 fillet or round.,"Top section, between the 4.40 diameter and the 3.00 diameter sections.",2xR0.30,Fillet/Round Callout,,,,,,,,,,,,,,,,,,,,,,
