Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,M. PERKINS,T. TEMPERO,Quantel USA,Retainer,7/17/2014,3/3/2015,00255703,mechanical,M. PERKINS,6061-T6 AL,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",B,1:1,SHEET 1 OF 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '0.255', 'unit': 'inch'}","{'value': '1.918', 'unit': 'inch'}","[{'feature': 'Overall Thickness', 'value': '0.255', 'unit': 'inch', 'tolerance': None, 'location': 'Right side view'}]","{'value': '1.665', 'unit': 'inch'}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '⌀0.460', 'unit': 'inch', 'tolerance': None}}",2X Through Hole,hole,"{'x': '0.445 from left edge, 0.333 from top edge', 'y': '0.445 from right edge, 0.333 from top edge', 'reference': 'part edges'}",2,THRU,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '⌀0.130', 'unit': 'inch', 'tolerance': None}, 'secondary': {'value': '⌀0.256', 'unit': 'inch', 'tolerance': None}}",4X Through Hole with Counterbore,hole,"{'x': '0.445 from left edge, 0.970 from top horizontal centerline', 'y': '0.445 from right edge, 0.970 from top horizontal centerline', 'reference': 'part edges and centerlines'}",4,"THRU, Counterbore",af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '⌀0.063', 'unit': 'inch', 'tolerance': None}, 'secondary': {'value': '0.063', 'unit': 'inch', 'tolerance': None, 'description': 'depth'}}",4X Blind Hole,hole,"{'x': 'adjacent to ⌀0.130 holes', 'y': 'adjacent to ⌀0.130 holes', 'reference': 'Section A-A'}",4,Blind,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '8-32 UNC', 'unit': 'inch', 'tolerance': None}}",Central Threaded Hole,hole,"{'x': 'center of part', 'y': 'center of part', 'reference': 'part center'}",1,THRU ALL,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': 'R.445', 'unit': 'inch', 'tolerance': None}}",Corner Radii,radius,4 corners of the part,4,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': 'R.385', 'unit': 'inch', 'tolerance': None}, 'secondary': {'value': '⌀.094', 'unit': 'inch', 'tolerance': None}}",Central Pocket,pocket,"center of part, top surface",1,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '0.445', 'unit': 'inch', 'tolerance': None}}",Horizontal distance from left edge to first vertical centerline,dimension,Main view,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '1.027', 'unit': 'inch', 'tolerance': None}}",Horizontal distance between central vertical centerlines,dimension,Main view,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"{'primary': {'value': '0.333', 'unit': 'inch', 'tolerance': None}}",Vertical distance from top edge to first horizontal centerline,dimension,Main view,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '0.970', 'unit': 'inch', 'tolerance': None}}",Vertical distance between central horizontal centerlines,dimension,Main view,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '1.336', 'unit': 'inch', 'tolerance': None}}",Depth of central pocket feature,dimension,Section B-B,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '0.826', 'unit': 'inch', 'tolerance': None}}",Step depth within central pocket feature,dimension,Section B-B,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': '(1.094)', 'unit': 'inch', 'tolerance': None}}",Reference depth of counterbore for ⌀0.460 holes,dimension,Section B-B,,Reference,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,"{'linear': 'Not explicitly stated (implied by decimal places)', 'angular': 'Not explicitly stated', 'standard_reference': None}",[],
