Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,T. TEMPERO,,QUANTEL USA,retainer,,02/25/2013,00255703,mechanical,M. FORKING,,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",,2:1,1 of 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,{},"{'value': '0.255', 'unit': 'inch', 'tolerance': ''}","{'value': '1.445', 'unit': 'inch', 'tolerance': ''}","[{'feature': 'corner radius', 'value': '0.445', 'unit': 'inch', 'tolerance': '', 'location': 'all corners'}]","{'value': '1.335', 'unit': 'inch', 'tolerance': ''}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '0.130', 'unit': 'inch', 'tolerance': '+0.005/-0.000', 'location': '4 places'}, 'secondary': {}}",through holes,hole,"{'x': '0.970', 'y': '0.445', 'reference': 'center'}",4,thru all,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '8-32', 'unit': '', 'tolerance': 'UNC', 'location': '4 places'}, 'secondary': {}}",8-32 UNC threads,threaded hole,"{'x': '0.445', 'y': '0.445', 'reference': 'center'}",4,thru all,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,"{'linear': '', 'angular': '', 'standard_reference': ''}","[{'feature': 'hole diameter', 'tolerance': '+0.005/-0.000', 'type': 'bilateral'}]"
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,"anodize clear per MIL-A-8625 type II, class 1",surface finish,random-orbital sand with 200-240 grit sandpaper,,,,,,,,,,,,,,,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,,,,,,1,4 places,4,,thru all,8-32 UNC,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,through center,"[{'feature': 'thickness', 'value': '0.255', 'unit': 'inch', 'tolerance': ''}]",A-A,2:1,full section,,,,,,,,,,,,,,,,,,,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,through center,"[{'feature': 'thickness', 'value': '0.255', 'unit': 'inch', 'tolerance': ''}]",B-B,2:1,full section,,,,,,,,,,,,,,,,,,,,
,,,,,,,ccc7965e-b568-4b88-84b4-07ee301b4722_image (6).jpg,,,,,,,,,,,,,,,,,,,,,1,all,lower left,REMOVE ALL BURRS AND SHARP EDGES,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,
