Filename,Record Type,dimensions_arc_length,dimensions_description,dimensions_location,dimensions_quantity,dimensions_thread_spec,dimensions_unit,dimensions_value,geometric_features_description,geometric_features_diameter,geometric_features_dimensions,geometric_features_location,geometric_features_quantity,geometric_features_radius,geometric_features_spacing,geometric_features_thread_spec,geometric_features_value,material_specifications,part_description,part_number,revision_information,special_manufacturing_instructions,surface_finish_requirements,tables,units
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,File Info,,,,,,,,,,,,,,,,,unclear,Gear,unclear,unclear,unclear,unclear,,unclear
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 1,,Number of teeth,Top right,,,None,20,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 2,,Tooth radius,Top right,,,None,R9,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 3,,Tooth spacing,Top right,,,None,Equally spaced,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 4,,Keyway dimensions,Top right,,,None,8 x 2,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 5,,Overall diameter,Bottom right,,,None,57,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 6,,Diameter,Bottom left,,,None,32,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 7,,Radius,Bottom left,,,None,R70,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 8,,Radius,Bottom left,,,None,R12,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 9,,Radius,Left,,,None,R6,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 10,120°,Hole diameter,Left,7,,None,12,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 11,120°,Hole diameter,Left,1,,None,127,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 12,,Hole diameter,Top left,8,M6 x 1,None,Ø5,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 13,,Hole diameter,Top left,8,M6 x 1,None,19,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 14,,Overall dimension,Right,,,None,54,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 15,,Angle,Right,,,°,30°,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,dimensions Item 16,,Diameter,Bottom left,,,None,38,,,,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 1,,,,,,,,Teeth,,,,20,R9,Equally spaced,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 2,,,,,,,,Keyway,,8 x 2,,,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 3,,,,,,,,Holes,Ø12,,On a 120° arc,7,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 4,,,,,,,,Holes,Ø127,,On a 120° arc,1,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 5,,,,,,,,Holes,Ø5,,On a Ø50 BC,8,,,M6 x 1,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 6,,,,,,,,Holes,19,,On a Ø50 BC,8,,,M6 x 1,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 7,,,,,,,,Holes,32,,Center,unclear,,,,,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 8,,,,,,,,Radius,,,,2,,,,R70,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 9,,,,,,,,Radius,,,,2,,,,R12,,,,,,,,
db246ce6-651c-41ec-a10c-8c14c57c2e49_Autocad 2D Gear Practice.jpg,geometric_features Item 10,,,,,,,,Radius,,,,6,,,,R6,,,,,,,,
