Filename,Record Type,annotations_and_notes_applies_to,annotations_and_notes_location_on_drawing,annotations_and_notes_text,annotations_and_notes_type,drawing_details_general_units_assumption,part_identification_description,part_identification_type,views_description,views_elements_associated_feature,views_elements_description,views_elements_dimensioned_feature,views_elements_element_type,views_elements_feature_type,views_elements_label,views_elements_location,views_elements_symbol,views_elements_units,views_elements_value,views_label,views_location_on_drawing,views_scale,views_view_type
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,File Info,,,,,"Dimensions are likely in millimeters (mm) as is common for these magnitudes in engineering drawings, though not explicitly stated.",A component with a knurled head and a threaded shaft.,Knurled Thumb Screw / Knob,,,,,,,,,,,,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views Item 1,,,,,,,,3D representation of the part.,,,,,,,,,,,,Top Left,,Isometric View
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 1,,,,,,,,,Knurled Head,,,Chamfer,,,Top edge of the knurled head,,,1x45°,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 2,,,,,,,,,Knurled Head to Shaft Transition,,,Chamfer,,,"Bottom edge of the knurled head, at the transition to the shaft",,,1x45°,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 3,,,,,,,,,,Height of the top flat section of the head,Head Top Flat Section,Linear Dimension,,,,,"unspecified, likely mm",7.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 4,,,,,,,,,,Height of the cylindrical knurled section of the head,Knurled Section Height,Linear Dimension,,,,,"unspecified, likely mm",10.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 5,,,,,,,,,,"Total height of the head (from top flat surface to bottom of head, including chamfer)",Overall Head Height,Linear Dimension,,,,,"unspecified, likely mm",11.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 6,,,,,,,,,,Overall length of the part (from top of head to end of threaded shaft),Overall Part Length,Linear Dimension,,,,,"unspecified, likely mm",31.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 7,,,,,,,,,,Indicates the area detailed in 'DETAIL A',,Feature Callout,,A,Mid-section of the threaded shaft,,,,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 8,,,,,,,,,,"Visually represented, no specific thread callout (e.g., pitch, major diameter, class) provided.",,Geometric Feature,Threaded Shaft,,,,,,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views Item 2,,,,,,,,,,,,,,,,,,,,Top Right,,Side View
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 1,,,,,,,,,,"Diameter of the cylindrical section of the head below the knurling, or the minor diameter of the knurled section.",Head Cylindrical Section Diameter,Diameter Dimension,,,,Ø,"unspecified, likely mm",16.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 2,,,,,,,,,,Outer (major) diameter of the knurled head,Knurled Head Major Diameter,Diameter Dimension,,,,Ø,"unspecified, likely mm",20.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 3,,,,,,,,,,Diameter of the central circular recess/counterbore on the top face of the head,Head Top Face Recess Diameter,Diameter Dimension,,,,Ø,"unspecified, likely mm",10.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views Item 3,,,,,,,,,,,,,,,,,,,,Bottom Right,,Top View
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 1,,,,,,,,,,Width of one knurl tooth or groove at its base/crest,Knurl Tooth/Groove Width,Linear Dimension,,,,,"unspecified, likely mm",0.41,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 2,,,,,,,,,,"Pitch of the knurling (distance between two corresponding points on adjacent knurls, e.g., peak to peak)",Knurl Pitch,Linear Dimension,,,,,"unspecified, likely mm",1.0,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 3,,,,,,,,,,Depth of the knurl groove from peak to valley,Knurl Groove Depth,Linear Dimension,,,,,"unspecified, likely mm",0.18,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views_elements Item 4,,,,,,,,,,"Cross-sectional representation of the knurling pattern, indicating a diamond knurl type based on the general note.",,Geometric Feature,Knurling Profile,,,,,,,,,
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,views Item 4,,,,,,,,Detailed view of the knurling profile on the threaded shaft.,,,,,,,,,,,DETAIL A,Bottom Left,1:4,Detail View
e00cc14e-41d8-4e42-baab-148bb24e98b8_new3.PNG,annotations_and_notes Item 1,Knurling Feature,"Bottom Right, below Top View",Make diamond knurling as per your own specifications or follow the explanation video on SourceCAD,Manufacturing Instruction / General Note,,,,,,,,,,,,,,,,,,
